,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Valdemar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,7,7,8,8,8,9,11,10,11,11,11,12,13,13,13,14
Christian/Kristian,36,38,30,31,31,32,32,26,26,26,24,20,21,19,20,18,16,15,13,12,13,11,11,8,8,8,6,6
Storm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,8,7,8,7,8,7,7,6,7,7
Mohammad / Mohamed,N/A,N/A,N/A,5,5,6,6,5,6,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nohr,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,10,9,9,7,9,9
Hugo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,8,10
Noah / Noa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,13,15,20,20,23,22,20,22,19,18,19,20,18,16,16,17,15,16
Elias,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,7,8,9,11,14,14,14,14,13,13,13,12,12,12,12,12
Felix,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,8,8,12,10,10,10,10,10,10,10
Sebastian,13,15,16,16,14,15,14,15,16,16,18,20,25,22,19,19,16,16,15,13,11,9,8,7,7,6,N/A,N/A
Silas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,5,9,7,7,8,11,12,11,8,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
Liam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,17,14,11,10,8,8,7,8,9
Frederik,25,31,36,36,39,34,28,26,27,27,28,25,28,23,22,20,18,18,17,16,16,15,13,13,11,10,9,8
Victor,N/A,5,8,8,10,12,14,17,22,22,20,20,25,21,19,19,20,19,19,19,19,17,16,17,15,16,12,13
Magnus,6,9,10,13,16,18,20,23,26,24,24,28,32,23,22,22,20,18,17,16,15,13,12,12,12,10,12,10
Malthe,N/A,N/A,4,7,6,6,6,7,7,8,12,12,14,14,16,18,16,15,15,13,11,16,15,14,14,15,14,14
