,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Karla,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,7,8,10,11,12,12,12,14,12,11,12,12,14,13
Ida,11,13,15,14,17,17,17,17,18,22,21,23,22,22,20,23,21,21,18,19,19,17,13,14,16,15,12,12
Saga,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,5,6,7,6
Isabella,5,5,N/A,5,5,5,5,6,7,8,9,9,10,13,13,15,18,22,17,15,16,14,13,11,12,10,11,9
Nadia,6,7,6,6,5,5,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Josephine/Josefine,13,15,12,13,11,14,13,13,15,15,17,18,15,13,13,13,12,14,14,14,14,13,11,13,14,14,11,12
Sara/Sarah,19,20,24,25,27,26,27,27,26,23,21,21,21,20,18,16,17,14,10,9,8,9,8,8,7,6,5,5
Anna,12,14,15,15,16,15,17,19,18,19,19,20,19,20,20,19,19,19,16,14,14,14,14,14,13,13,13,13
Natasja/Natasha,8,7,7,7,7,8,8,9,9,8,7,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amalie,11,15,14,12,13,16,18,16,15,14,15,14,14,13,12,11,10,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Luna,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,6,6,5,6,6,7,9,10,12,11
Esther,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,5,5,5,5,7,9,8,8,8,8
Marie,9,10,10,9,9,9,10,9,10,12,11,12,10,12,11,10,10,10,9,9,7,8,7,7,8,7,8,7
Maja,8,9,9,10,11,12,13,13,13,14,13,13,15,18,15,16,16,17,14,15,13,12,11,10,9,9,8,7
Freja,N/A,N/A,6,6,7,9,15,16,19,18,20,22,23,23,22,23,21,17,16,18,15,16,16,14,14,14,15,15
Laura,8,11,12,16,17,20,23,24,22,26,26,26,27,26,22,17,16,15,17,15,14,15,14,13,12,12,11,12
